Location_ID,Location_Name,Location_Type,Region,Population_2021,Unified_Score,Deferred_Reason
SK-0007,Lac La Ronge Indian Band,First Nations Reserve,Northern Saskatchewan,11233,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0013,Peter Ballantyne Cree Nation,First Nations Reserve,Northern Saskatchewan,11000,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0020,Montreal Lake Cree Nation,First Nations Reserve,Northern Saskatchewan,3500,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0021,Thunderchild First Nation,First Nations Reserve,Northwest,2800,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0022,Cowessess First Nation,First Nations Reserve,Southeast,3800,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0023,Beardy's and Okemasis Cree Nation,First Nations Reserve,Central Saskatchewan,3500,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0024,Big River First Nation,First Nations Reserve,Northern Saskatchewan,2600,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0025,Ochapowace Nation,First Nations Reserve,Southeast,2500,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0031,Onion Lake Cree Nation,First Nations Reserve,Northwest,6073,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0034,Mistawasis Nêhiyawak,First Nations Reserve,Central Saskatchewan,3200,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0035,Kahkewistahaw First Nation,First Nations Reserve,Southeast,2300,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0037,Kawacatoose First Nation,First Nations Reserve,Central Saskatchewan,2100,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0039,Pelican Lake First Nation,First Nations Reserve,Central Saskatchewan,1500,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0040,Sakimay First Nation,First Nations Reserve,Southeast,1400,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0052,James Smith Cree Nation,First Nations Reserve,Central Saskatchewan,3400,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0067,Sturgeon Lake First Nation,First Nations Reserve,Central Saskatchewan,2100,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0068,Muskoday First Nation,First Nations Reserve,Central Saskatchewan,1873,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0070,Fishing Lake First Nation,First Nations Reserve,Central Saskatchewan,1200,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0077,Standing Buffalo Dakota Nation,First Nations Reserve,Southern Saskatchewan,808,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0084,Grand Coulee,Town,Saskatoon Region,606,,no CGN-verifiable coordinates
SK-0086,Katepwa,Resort Village,Southern Saskatchewan,539,,no CGN-verifiable coordinates
SK-0105,Yellow Quill First Nation,First Nations Reserve,Central Saskatchewan,2800,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0136,Piapot First Nation,First Nations Reserve,Southern Saskatchewan,2200,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0137,Poundmaker Cree Nation,First Nations Reserve,Northwest,1800,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0175,Pense,Town,Central Saskatchewan,603,,no CGN-verifiable coordinates
SK-0201,Emerald Park,Locality,Regina Region,2500,,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0202,Muskeg Lake Cree Nation,First Nations Reserve,Central Saskatchewan,2240,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0207,Wynyard,Locality,Central Saskatchewan,1700,,duplicate place (locality twin of an incorporated municipality)
SK-0208,Dalmeny,Locality,Saskatoon Region,1600,,duplicate place (locality twin of an incorporated municipality)
SK-0209,Stanley Mission,Locality,Northern Saskatchewan,1500,42.1,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0211,Rosthern,Locality,Central Saskatchewan,1440,,duplicate place (locality twin of an incorporated municipality)
SK-0212,Langham,Locality,Saskatoon Region,1370,,duplicate place (locality twin of an incorporated municipality)
SK-0213,Ile-a-la-Crosse,Locality,Northern Saskatchewan,1365,,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0214,Wadena,Locality,Central Saskatchewan,1300,,duplicate place (locality twin of an incorporated municipality)
SK-0219,Wollaston Lake,Locality,Northern Saskatchewan,1200,38.3,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0220,Black Lake,Locality,Northern Saskatchewan,1200,38.3,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0221,Shellbrook,Locality,Central Saskatchewan,1200,,duplicate place (locality twin of an incorporated municipality)
SK-0223,Osler,Locality,Saskatoon Region,1100,,duplicate place (locality twin of an incorporated municipality)
SK-0225,Waldheim,Locality,Central Saskatchewan,1080,,duplicate place (locality twin of an incorporated municipality)
SK-0236,Marshall,Town,Central Saskatchewan,522,,no CGN-verifiable coordinates
SK-0260,Nutana,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0261,Varsity View,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0262,Brighton,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0263,Briarwood,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0264,College Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0265,College Park East,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0266,Lakeridge,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0267,Lakeview,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0268,Rosewood,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0269,Wildwood,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0270,Adelaide/Churchill,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0271,Avalon,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0272,Brevoort Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0273,Buena Vista,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0274,Eastview,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0275,Exhibition,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0276,Greystone Heights,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0277,Grosvenor Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0278,Haultain,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0279,Holliston,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0280,Nutana Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0281,Queen Elizabeth,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0282,Stonebridge,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0283,The Willows,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
