Slug,Page_URL,Name,Class,Type,Region,Lat,Lng,Pop2021,SEO_Score,Wikidata_QID,Info_Gain_Element
areas,/areas,Manitoba,HUB,Hub,Manitoba,49.8951,-97.1384,1342153,,Q1948,Eight-ground-truths province framing (clay/limestone/till/Shield) as the coverage architecture
central-plains,/areas/region/central-plains,Central Plains,REGION,Region,Manitoba,49.9,-98,,,,Two-corridor scheduling promise (Trans-Canada + metro fringe) and gumbo-to-loam soil transition
eastman,/areas/region/eastman,Eastman,REGION,Region,Manitoba,49.65,-96.5,,,,Clay-vs-Shield two-playbook framing with the Ste. Anne transition line named
interlake,/areas/region/interlake,Interlake,REGION,Region,Manitoba,50.4,-97.2,,,,Three-tier territory framing (river corridor / quarry belt / lakeshore) with rock-contingency-in-estimate promise
northern-manitoba,/areas/region/northern-manitoba,Northern Manitoba,REGION,Region,Manitoba,55.74,-97.86,,,,Rock/muskeg/distance triple-reality scoping + arrive-complete mobilization promise
parkland,/areas/region/parkland,Parkland,REGION,Region,Manitoba,51.15,-100.05,,,,Mountain-fringe snowpack engineering framing unique to the two-park belt
pembina-valley,/areas/region/pembina-valley,Pembina Valley,REGION,Region,Manitoba,49.18,-97.94,,,,Valley-floor vs escarpment two-playbook framing + ring-dike staging promise
westman,/areas/region/westman,Westman,REGION,Region,Manitoba,49.85,-99.95,,,,Sandy-till-vs-clay physics framing with valley-floor vs brow-of-hill scoping distinction
winnipeg-metro,/areas/region/winnipeg-metro,Winnipeg Metro,REGION,Region,Manitoba,49.8951,-97.1384,,,,Housing-era 'tree rings' framing (1880s Exchange to Waverley West) tied to era-specific service methods
cartier,/areas/cartier,Cartier,CSD,Rural Municipality,Central Plains,49.88306,-97.67583,3344,58.2,,Elie F5 tornado (Canada's only officially rated F5) used as a storm-exposure design context competitors will not have.
grey,/areas/grey,Grey,CSD,Rural Municipality,Central Plains,49.6,-98,2517,56.7,,Francophone-settlement-belt (St. Claude) + flat-land drainage framing near the metro's easy reach.
la-salle,/areas/la-salle,La Salle,COMMUNITY,Community,Central Plains,49.71,-97.28,2471,56.1,,New-build-on-gumbo framing: fresh subdivisions still need movement-aware work — a warranty-era angle for the metro fringe.
long-plain-6,/areas/long-plain-6,Long Plain,CSD,Community,Central Plains,49.86,-98.5,1335,52.7,,Economic-development-and-growth momentum framing for a Portage-area First Nation — a market angle no template carries.
macdonald,/areas/macdonald,Macdonald,CSD,Rural Municipality,Central Plains,49.66667,-97.5,8120,63.1,,13.4% growth-fringe framing pairing estate-subdivision clay behaviour with La Salle River drainage context.
north-norfolk,/areas/north-norfolk,North Norfolk,CSD,Rural Municipality,Central Plains,49.96,-98.78,3915,57.3,,Manitoba Agricultural Museum / Threshermen's Reunion heritage anchor + flat-land-is-not-easy-land drainage framing.
oak-bluff,/areas/oak-bluff,Oak Bluff,COMMUNITY,Community,Central Plains,49.79,-97.34,1442,55.1,,Estate-lot-on-gumbo framing: larger lots give the clay more ground to move — a scoping angle for the metro fringe.
portage-la-prairie,/areas/portage-la-prairie,Portage la Prairie,CSD,City,Central Plains,49.97278,-98.29194,13270,65.7,,Crescent Lake oxbow and McCain-Simplot-Roquette plant-corridor framing tied to building-era-specific service.
portage-la-prairie-rm,/areas/portage-la-prairie-rm,Portage la Prairie,CSD,Rural Municipality,Central Plains,49.99278,-98.26917,6888,61.4,,"Delta Marsh, Delta Beach 2011 high-water legacy, and Portage Diversion coverage FAQ that cleanly separates the RM from the city page."
sandy-bay-5,/areas/sandy-bay-5,Sandy Bay,CSD,Community,Central Plains,50.42,-98.8,2598,53.3,,South-shore 2011 Lake Manitoba flood-exposure framing for a growing lakeside First Nation community.
st-francois-xavier,/areas/st-francois-xavier,St. François Xavier,CSD,Rural Municipality,Central Plains,49.91389,-97.55111,1449,56.6,,"River-lot survey heritage + Assiniboine riverbank scoping, with the White Horse Plain identity as the hook."
victoria,/areas/victoria,Victoria,CSD,Rural Municipality,Central Plains,49.55,-98.75,1188,55,,Spruce Woods-edge plains positioning with wind-and-drainage scoping and a healthy rural growth note.
alexander,/areas/alexander,Alexander,CSD,Rural Municipality,Eastman,50.55,-96.3,3854,56.6,,Winnipeg River hydro-corridor (Great Falls/Seven Sisters/Pine Falls) + Shield granite cottage scoping.
beausejour,/areas/beausejour,Beausejour,CSD,Town,Eastman,50.06222,-96.51611,3307,57.9,,Power Toboggan Championships identity + quarry-country shallow-limestone ground note.
blumenort,/areas/blumenort,Blumenort,COMMUNITY,Local Urban District,Eastman,49.60444,-96.68889,1738,54.7,,Entrepreneurial-Steinbach-belt well-drained-soils framing for a growing Mennonite community.
brokenhead,/areas/brokenhead,Brokenhead,CSD,Rural Municipality,Eastman,50.05,-96.5,5414,61.9,,Tyndall stone quarry / shallow-limestone rock-contingency scoping — a bedrock angle no template carries.
de-salaberry,/areas/de-salaberry,De Salaberry,CSD,Rural Municipality,Eastman,49.35,-96.9,3918,58,,St. Malo reservoir/park lakeside-recreation scheduling + Rat River drainage in a francophone district.
grunthal,/areas/grunthal,Grunthal,COMMUNITY,Local Urban District,Eastman,49.40639,-96.85833,1782,54.4,,Farm-service-community farm-plus-home scoping in the Hanover belt on well-drained ground.
hanover,/areas/hanover,Hanover,CSD,Rural Municipality,Eastman,49.44,-96.75,17216,64.1,,Mennonite dairy-belt farm-building scheduling (New Bothwell / Bothwell Cheese anchor) + well-drained-ground note.
ile-des-chenes,/areas/ile-des-chenes,Île des Chênes,COMMUNITY,Community,Eastman,49.71056,-96.98833,1572,55.2,,New-build-on-gumbo warranty-era framing for a francophone 'Island of Oaks' commuter community.
la-broquerie,/areas/la-broquerie,La Broquerie,CSD,Rural Municipality,Eastman,49.52,-96.5,6725,61.7,,Sandy Sandilands-forest-edge soils (vs Red River clay) + dairy-building scheduling in a francophone district.
lac-du-bonnet-rm,/areas/lac-du-bonnet-rm,Lac du Bonnet,CSD,Rural Municipality,Eastman,50.3,-96.05,3563,57.1,,Canadian Shield granite-ground + Winnipeg River cottage-calendar scoping — a Shield angle no valley template carries.
lac-du-bonnet,/areas/lac-du-bonnet,Lac du Bonnet,CSD,Town,Eastman,50.25444,-96.06056,1064,54.5,,Prairie-soil-to-Shield-granite transition-zone ground-reading for the cottage-country hub town.
landmark,/areas/landmark,Landmark,COMMUNITY,Local Urban District,Eastman,49.67139,-96.82139,1284,54.5,,Family-community new-build-on-well-drained-ground framing (vs Winnipeg gumbo) for a Taché bedroom community.
lorette,/areas/lorette,Lorette,COMMUNITY,Local Urban District,Eastman,49.73917,-96.87167,3230,56.6,,Francophone-parish-core-vs-new-subdivision dual scoping for a Seine River commuter community.
mitchell,/areas/mitchell,Mitchell,COMMUNITY,Local Urban District,Eastman,49.53417,-96.76194,3136,55.8,,Steinbach-extension well-drained-belt-soils framing for a fast-growing Mennonite community.
niverville,/areas/niverville,Niverville,CSD,Town,Eastman,49.605,-97.0417,5947,62.6,,Fastest-growing-town warranty-era + new-build-on-gumbo framing with a proactive-maintenance angle.
oakbank,/areas/oakbank,Oakbank,COMMUNITY,Community,Eastman,49.94361,-96.84278,5041,60.6,,Better-drained-eastern-fringe-vs-Winnipeg-gumbo soils framing for a fast commuter town.
pinawa,/areas/pinawa,Pinawa,CSD,Local Government District,Eastman,50.15194,-95.87639,1558,55.2,,Whiteshell-labs planned-town consistent-1960s-stock + Shield granite scoping — a doubly distinctive combination.
piney,/areas/piney,Piney,CSD,Rural Municipality,Eastman,49.1,-95.9,1843,54.7,,Far-corner distance-as-a-plan commitment + Sandilands sandy-forest-soil scoping.
powerview-pine-falls,/areas/powerview-pine-falls,Powerview-Pine Falls,CSD,Town,Eastman,50.58333,-96.20833,1239,54.4,,Mill-and-hydro-town heritage + lower-Winnipeg-River Shield-edge waterside scoping near the lake mouth.
