Slug,Page_URL,Location_Name,Location_Class,Region,Image_Tier,Image_Filename,Alt_Layer1_Geo,Alt_Layer2_Rendered_Template,Image_License,Image_Attribution,Wikidata_QID,Asset_Status
areas,/areas,Manitoba,HUB,Manitoba,region,manitoba-areas-hub-mb.webp,Manitoba — from Red River Valley farmland to Canadian Shield lake country,"{SERVICE_CATEGORY} in Manitoba, Manitoba — Manitoba — from Red River Valley farmland to Canadian Shield lake country",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q1948,PENDING-SOURCE
central-plains,/areas/region/central-plains,Central Plains,REGION,Manitoba,region,central-plains-region-mb.webp,"Central Plains region, Manitoba — table-flat Portage plains between the Assiniboine River and Lake Manitoba","{SERVICE_CATEGORY} in Central Plains, Manitoba — Central Plains region, Manitoba — table-flat Portage plains between the Assiniboine River and Lake Manitoba",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
eastman,/areas/region/eastman,Eastman,REGION,Manitoba,region,eastman-region-mb.webp,"Eastman region, Manitoba — transition from Red River farmland to Canadian Shield granite along the Winnipeg River","{SERVICE_CATEGORY} in Eastman, Manitoba — Eastman region, Manitoba — transition from Red River farmland to Canadian Shield granite along the Winnipeg River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
interlake,/areas/region/interlake,Interlake,REGION,Manitoba,region,interlake-region-mb.webp,"Interlake region, Manitoba — limestone lowland between Lake Winnipeg and Lake Manitoba","{SERVICE_CATEGORY} in Interlake, Manitoba — Interlake region, Manitoba — limestone lowland between Lake Winnipeg and Lake Manitoba",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
northern-manitoba,/areas/region/northern-manitoba,Northern Manitoba,REGION,Manitoba,region,northern-manitoba-region-mb.webp,Northern Manitoba — Canadian Shield lakes and boreal forest draining toward the Nelson River,"{SERVICE_CATEGORY} in Northern Manitoba, Manitoba — Northern Manitoba — Canadian Shield lakes and boreal forest draining toward the Nelson River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
parkland,/areas/region/parkland,Parkland,REGION,Manitoba,region,parkland-region-mb.webp,"Parkland region, Manitoba — aspen parkland rising toward Duck Mountain, the province's highest ground","{SERVICE_CATEGORY} in Parkland, Manitoba — Parkland region, Manitoba — aspen parkland rising toward Duck Mountain, the province's highest ground",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
pembina-valley,/areas/region/pembina-valley,Pembina Valley,REGION,Manitoba,region,pembina-valley-region-mb.webp,"Pembina Valley region, Manitoba — Red River Valley farmland rising to the Manitou Escarpment","{SERVICE_CATEGORY} in Pembina Valley, Manitoba — Pembina Valley region, Manitoba — Red River Valley farmland rising to the Manitou Escarpment",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
westman,/areas/region/westman,Westman,REGION,Manitoba,region,westman-region-mb.webp,"Westman region, Manitoba — the Assiniboine River valley cutting through rolling southwestern prairie","{SERVICE_CATEGORY} in Westman, Manitoba — Westman region, Manitoba — the Assiniboine River valley cutting through rolling southwestern prairie",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
winnipeg-metro,/areas/region/winnipeg-metro,Winnipeg Metro,REGION,Manitoba,region,winnipeg-metro-region-mb.webp,"Winnipeg Metro Region, Manitoba — Red and Assiniboine rivers meeting at The Forks on the Lake Agassiz clay plain","{SERVICE_CATEGORY} in Winnipeg Metro, Manitoba — Winnipeg Metro Region, Manitoba — Red and Assiniboine rivers meeting at The Forks on the Lake Agassiz clay plain",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
cartier,/areas/cartier,Cartier,CSD,Central Plains,region,cartier-central-plains-mb.webp,"Cartier, Central Plains Manitoba — open grain plains along the Trans-Canada Highway west of Winnipeg","{SERVICE_CATEGORY} in Cartier, Manitoba — Cartier, Central Plains Manitoba — open grain plains along the Trans-Canada Highway west of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
grey,/areas/grey,Grey,CSD,Central Plains,region,grey-central-plains-mb.webp,"RM of Grey, Central Plains Manitoba — fertile south-central plains at Elm Creek and francophone St. Claude","{SERVICE_CATEGORY} in Grey, Manitoba — RM of Grey, Central Plains Manitoba — fertile south-central plains at Elm Creek and francophone St. Claude",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
la-salle,/areas/la-salle,La Salle,COMMUNITY,Central Plains,region,la-salle-central-plains-mb.webp,"La Salle, Central Plains Manitoba — growing La Salle River community on Winnipeg's southwest gumbo-clay edge","{SERVICE_CATEGORY} in La Salle, Manitoba — La Salle, Central Plains Manitoba — growing La Salle River community on Winnipeg's southwest gumbo-clay edge",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
long-plain-6,/areas/long-plain-6,Long Plain,CSD,Central Plains,region,long-plain-6-central-plains-mb.webp,"Long Plain, Central Plains Manitoba — Anishinaabe First Nation on the Assiniboine-country plains near Portage la Prairie","{SERVICE_CATEGORY} in Long Plain, Manitoba — Long Plain, Central Plains Manitoba — Anishinaabe First Nation on the Assiniboine-country plains near Portage la Prairie",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
macdonald,/areas/macdonald,Macdonald,CSD,Central Plains,region,macdonald-central-plains-mb.webp,"Macdonald, Central Plains Manitoba — La Salle River winding through Red River Valley farmland","{SERVICE_CATEGORY} in Macdonald, Manitoba — Macdonald, Central Plains Manitoba — La Salle River winding through Red River Valley farmland",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
north-norfolk,/areas/north-norfolk,North Norfolk,CSD,Central Plains,region,north-norfolk-central-plains-mb.webp,"RM of North Norfolk, Central Plains Manitoba — table-flat Trans-Canada plains farmland at MacGregor and Austin","{SERVICE_CATEGORY} in North Norfolk, Manitoba — RM of North Norfolk, Central Plains Manitoba — table-flat Trans-Canada plains farmland at MacGregor and Austin",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
oak-bluff,/areas/oak-bluff,Oak Bluff,COMMUNITY,Central Plains,region,oak-bluff-central-plains-mb.webp,"Oak Bluff, Central Plains Manitoba — estate-lot community on Winnipeg's southwest gumbo-clay doorstep","{SERVICE_CATEGORY} in Oak Bluff, Manitoba — Oak Bluff, Central Plains Manitoba — estate-lot community on Winnipeg's southwest gumbo-clay doorstep",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
portage-la-prairie,/areas/portage-la-prairie,Portage la Prairie,CSD,Central Plains,region,portage-la-prairie-central-plains-mb.webp,"Portage la Prairie, Central Plains Manitoba — Crescent Lake oxbow curving around Island Park","{SERVICE_CATEGORY} in Portage la Prairie, Manitoba — Portage la Prairie, Central Plains Manitoba — Crescent Lake oxbow curving around Island Park",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
